t	Alfa	omega	energia
0.049100	3.197917	4.062337	20733.659184
0.049200	3.198324	4.062468	20734.543417
0.049300	3.198730	4.062598	20735.427287
0.049400	3.199136	4.062728	20736.310795
0.049500	3.199543	4.062858	20737.193941
0.049600	3.199949	4.062988	20738.076724
0.049700	3.200355	4.063119	20738.959144
0.049800	3.200761	4.063249	20739.841202
0.049900	3.201168	4.063379	20740.722897
0.050000	3.201574	4.063509	20741.604230
0.050100	3.201980	4.063640	20742.485199
0.050200	3.202387	4.063770	20743.365807
0.050300	3.202793	4.063900	20744.246051
0.050400	3.203200	4.064030	20745.125933
0.050500	3.203606	4.064161	20746.005451
0.050600	3.204012	4.064291	20746.884607
0.050700	3.204419	4.064421	20747.763400
0.050800	3.204825	4.064552	20748.641830
0.050900	3.205232	4.064682	20749.519898
0.051000	3.205638	4.064813	20750.397602
0.051100	3.206045	4.064943	20751.274943
0.051200	3.206451	4.065073	20752.151921
0.051300	3.206858	4.065204	20753.028536
0.051400	3.207264	4.065334	20753.904788
0.051500	3.207671	4.065465	20754.780677
0.051600	3.208077	4.065595	20755.656203
0.051700	3.208484	4.065726	20756.531365
0.051800	3.208891	4.065856	20757.406164
0.051900	3.209297	4.065987	20758.280600
0.052000	3.209704	4.066117	20759.154673
0.052100	3.210110	4.066248	20760.028382
0.052200	3.210517	4.066378	20760.901728
0.052300	3.210924	4.066509	20761.774711
0.052400	3.211330	4.066639	20762.647330
0.052500	3.211737	4.066770	20763.519585
0.052600	3.212144	4.066901	20764.391478
0.052700	3.212550	4.067031	20765.263006
0.052800	3.212957	4.067162	20766.134171
0.052900	3.213364	4.067293	20767.004973
0.053000	3.213771	4.067423	20767.875411
0.053100	3.214177	4.067554	20768.745485
0.053200	3.214584	4.067685	20769.615196
0.053300	3.214991	4.067815	20770.484543
0.053400	3.215398	4.067946	20771.353526
0.053500	3.215804	4.068077	20772.222145
0.053600	3.216211	4.068207	20773.090401
0.053700	3.216618	4.068338	20773.958293
0.053800	3.217025	4.068469	20774.825821
0.053900	3.217432	4.068600	20775.692985
0.054000	3.217839	4.068730	20776.559785
0.054100	3.218245	4.068861	20777.426221
0.054200	3.218652	4.068992	20778.292293
0.054300	3.219059	4.069123	20779.158001
0.054400	3.219466	4.069254	20780.023346
0.054500	3.219873	4.069384	20780.888326
0.054600	3.220280	4.069515	20781.752942
0.054700	3.220687	4.069646	20782.617194
0.054800	3.221094	4.069777	20783.481081
0.054900	3.221501	4.069908	20784.344605
0.055000	3.221908	4.070039	20785.207764
0.055100	3.222315	4.070170	20786.070559
0.055200	3.222722	4.070301	20786.932990
0.055300	3.223129	4.070432	20787.795057
0.055400	3.223536	4.070563	20788.656759
0.055500	3.223943	4.070694	20789.518097
0.055600	3.224350	4.070825	20790.379070
0.055700	3.224757	4.070956	20791.239679
0.055800	3.225164	4.071087	20792.099924
0.055900	3.225572	4.071218	20792.959804
0.056000	3.225979	4.071349	20793.819319
0.056100	3.226386	4.071480	20794.678470
0.056200	3.226793	4.071611	20795.537257
0.056300	3.227200	4.071742	20796.395679
0.056400	3.227607	4.071873	20797.253736
0.056500	3.228015	4.072004	20798.111429
0.056600	3.228422	4.072135	20798.968757
0.056700	3.228829	4.072266	20799.825720
0.056800	3.229236	4.072397	20800.682318
0.056900	3.229643	4.072529	20801.538552
0.057000	3.230051	4.072660	20802.394421
0.057100	3.230458	4.072791	20803.249925
0.057200	3.230865	4.072922	20804.105064
0.057300	3.231273	4.073053	20804.959839
0.057400	3.231680	4.073184	20805.814248
0.057500	3.232087	4.073316	20806.668293
0.057600	3.232495	4.073447	20807.521972
0.057700	3.232902	4.073578	20808.375287
0.057800	3.233309	4.073709	20809.228237
0.057900	3.233717	4.073841	20810.080821
0.058000	3.234124	4.073972	20810.933041
0.058100	3.234531	4.074103	20811.784895
0.058200	3.234939	4.074235	20812.636384
0.058300	3.235346	4.074366	20813.487508
0.058400	3.235754	4.074497	20814.338267
0.058500	3.236161	4.074629	20815.188661
0.058600	3.236569	4.074760	20816.038690
0.058700	3.236976	4.074891	20816.888353
0.058800	3.237384	4.075023	20817.737651
0.058900	3.237791	4.075154	20818.586583
0.059000	3.238199	4.075286	20819.435151
